출발기관,도착기관,편도거리_km
서울_본청,서울_동부교육지원청,0.0
서울_본청,서울_서부교육지원청,0.0
서울_본청,서울_남부교육지원청,0.0
서울_본청,서울_북부교육지원청,0.0
서울_본청,서울_중부교육지원청,0.0
서울_본청,서울_강동송파교육지원청,0.0
서울_본청,서울_성동광진교육지원청,0.0
서울_본청,서울_성북강북교육지원청,0.0
서울_본청,서울_강남서초교육지원청,0.0
서울_본청,서울_동작관악교육지원청,0.0
서울_본청,서울_강서양천교육지원청,0.0
서울_본청,부산_본청,0.0
서울_본청,부산_서부교육지원청,0.0
서울_본청,부산_남부교육지원청,0.0
서울_본청,부산_북부교육지원청,0.0
서울_본청,부산_동래교육지원청,0.0
서울_본청,부산_해운대교육지원청,0.0
서울_본청,대구_본청,0.0
서울_본청,대구_동부교육지원청,0.0
서울_본청,대구_서부교육지원청,0.0
서울_본청,대구_남부교육지원청,0.0
서울_본청,대구_달성교육지원청,0.0
서울_본청,대구_군위교육지원청,0.0
서울_본청,인천_본청,0.0
서울_본청,인천_남부교육지원청,0.0
서울_본청,인천_북부교육지원청,0.0
서울_본청,인천_동부교육지원청,0.0
서울_본청,인천_서부교육지원청,0.0
서울_본청,인천_강화교육지원청,0.0
서울_본청,광주_본청,0.0
서울_본청,광주_동부교육지원청,0.0
서울_본청,광주_서부교육지원청,0.0
서울_본청,대전_본청,0.0
서울_본청,대전_동부교육지원청,0.0
서울_본청,대전_서부교육지원청,0.0
서울_본청,울산_본청,0.0
서울_본청,울산_강북교육지원청,0.0
서울_본청,울산_강남교육지원청,0.0
서울_본청,세종_본청,0.0
서울_본청,경기_본청,0.0
서울_본청,경기_수원교육지원청,0.0
서울_본청,경기_성남교육지원청,0.0
서울_본청,경기_의정부교육지원청,0.0
서울_본청,경기_안양과천교육지원청,0.0
서울_본청,경기_안산교육지원청,0.0
서울_본청,경기_평택교육지원청,0.0
서울_본청,경기_고양교육지원청,0.0
서울_본청,경기_화성오산교육지원청,0.0
서울_본청,경기_시흥교육지원청,0.0
서울_본청,경기_군포의왕교육지원청,0.0
서울_본청,경기_용인교육지원청,0.0
서울_본청,경기_파주교육지원청,0.0
서울_본청,경기_이천교육지원청,0.0
서울_본청,경기_안성교육지원청,0.0
서울_본청,경기_김포교육지원청,0.0
서울_본청,경기_광주하남교육지원청,0.0
